1---“八一”六十载---亲 
2---“七一”直抵花城---库 
3---“十三大”，改革之会，团结之会---奉 
4---“十一”双方皆怀念---喜 
5---“文昭关”选段---音 
6---“五一”厂里放影片---彦 
7---“五一”前夕何宽松---衙 
8---“西出阳关无故人”---笙 
9---“小”字加一撇，不作“少”字猜---赤 
10---《人生》上下集---佧 
11---20-2---槎 
12---３＋８---秸 
13---７８．３---柒 
14---阿里山小吃---饴 
15---爱将余热献光明---熹 
16---爱心几度付流水---沉 
17---爱心寄与笔底情---写 
18---爱友别离又相聚---受 
19---安敢裙钗换男装---宁 
20---安危抛脑后---脆 
21---安下心来读书---今 
22---安心度日---宴 
23---安心平凡工作---恐 
24---安心只为翻了身---总 
25---安阳风光---京 
26---安阳会子---鼹 
27---安阳即景---京 
28---俺大人不在---电 
29---岸---滂 
30---八尺龙头---咫 
31---八尺龙须---荨 
32---八达岭---兵 
33---八方归心---总 
34---八方援助受灾人---熔 
35---八方支援前线---织 
36---八哥---兑 
37---八哥的传说---言 
38---八哥偏心---悦 
39---八哥守门---阅 
40---八哥学舌---说 
41---八卦山之春---根 
42---八角楼旁水相连---淞 
43---八戒大怒---氦 
44---八戒行者随长老---狮 
45---八九不离十---杂 
46---八九不离十---杂 
47---八九点钟的太阳---晨 
48---八君子---羌 
49---八骏随天子---玛 
50---八连战士---丘 
51---八千里峰峦横隔，三十年心系故乡---秉 憧 
52---八千子弟兵---翠 
53---八千子弟兵---翠 
54---八声甘州---箫 
55---八十八---米 
56---八兄弟同赏月　　 ---脱 
1476---囡　　 ---娲 
1477---男宾止步　　 ---妪 
1478---南昌多云　　 ---昙 
1479---南冠草　　 ---卉 
1480---南天一柱　　 ---个 
1481---南天一柱竹半掩　　 ---个 
1482---能说会道　　 ---团 
1483---泥　　 ---堤 
1484---泥落空堂帘半卷　　 ---常 
1485---你左我右争上篮　　 ---筏 
1486---年初要实行机构改革　　 ---秃 
1487---年根岁底　　 ---舛 
1488---年届弱冠　　 ---异 
1489---年已古稀仍不休　　 ---轩 
1490---念往昔　　 ---苦 
1491---鸟飞三周　　 ---鹊 
1492---鸟窝　　 ---扇 
1493---鸟亦罢其鸣　　 ---蹄 
1494---宁波中转　　 ---漩 
1495---宁为鸡口，不为牛后　　 ---酷 
1496---牛羊成群　　 ---羞 
1497---弄瓦之喜　　 ---甥 
1498---弩　　 ---弛 
1499---怒斩刁仆　　 ---心 
1500---女方带头搞改革　　 ---菇 
1501---女排第一，男排第二　　 ---好 
1502---女排翻身得第一　　 ---妯 
1503---女生四舍　　 ---噩 
1504---女瘦缘其病缠身　　 ---嫂 
1505---女真侵宋分南北　　 ---案 
1506---女真侵宋分南北　　 ---案 
1507---排个人字上云端　　 ---去 
1508---朋　　 ---期 
1509---翩翩飞出栅栏去　　 ---扇 
1510---片帆北上系芳心　　 ---市 
1511---片片残花叶半垂　　 ---哗 
1512---片月残云雁阵疏　　 ---瓜 
1513---片云残月带三星　　 ---泓 
1514---平川十里一人归　　 ---奉 
1515---平川雁阵映残阳　　 ---春 
1516---平反归来　　 ---啬 
1517---平反回首廿载前　　 ---蔷 
1518---平分底角　　 ---润 
1519---平桥涨秋水，残月映舞低　　 ---瞬 
1520---平沙落雁相偶相伴　　 ---丝 
1521---平生一片心　　 ---怦 
1522---平水藏钩捕鱼鳖　　 ---憋 
1523---平水桥下已三更　　 ---学 
1524---平易近人　　 ---伴 
1525---平原上马不费力　　 ---腾 
1526---泼水节　　 ---发 
1527---破格选人才　　 ---财 
1528---破伤风　　 ---虱 
1529---破竹　　 ---个 
1530---扑灭烟火人方散　　 ---一 
1531---七百除一　　 ---皂 
1532---七颠八倒　　 ---戈 
1533---七颠八倒　　 ---戈 
1534---七姐妹相会　　 ---蓉 
1535---七擒七纵　　 ---惩 
1536---七擒七纵意何为　　 ---惩 
1537---七人纵横千里　　 ---骅 
1538---七十二变　　 ---辆 
1539---七十二家半得迁　　 ---究 
1540---七十二小时　　 ---晶 
1541---七十二小时亮堂堂　　 ---晶 
1542---七十上下雄心在　　 ---华 
1543---七十尚安步　　 ---车 
1544---七五计划　　 ---十二笔 
1545---七五期间安排重点　　 ---兴 
1546---七五期间变化大　　 ---位 
1547---七五期间乘胜前进　　 ---胶 
1548---七五期间大变面貌　　 ---位 
1549---七五期间改变旧貌　　 ---音 
1550---七五期间横向联系　　 ---立 
1551---七五前景欣欣向荣　　 ---旺 
1552---七夕一相逢　　 ---死 
1553---七星残月挂树梢　　 ---粱 
1554---七月大　　 ---厢 
1555---七月飞霜冷半凝　　 ---零 
1556---七月流火　　 ---禾 
1557---妻　　 ---肉 
1558---齐人有一妻一妾　　 ---佞 
1559---齐心改革变化大　　 ---丛 
1560---其下十章　　 ---音 
1561---骑马可走　　 ---大 
1562---岂可再乎　　 ---正 
1563---起草合同　　 ---药 
1564---起诉无效　　 ---皓 
1565---气管炎　　 ---氮 
1566---气吞山河　　 ---氯 
1567---千　　 ---坂 
1568---千层底　　 ---丢 
1569---千锤万凿出深山　　 ---碳 
1570---千帆错落雁横空　　 ---佩 
1571---千帆钷落风里去　　 ---佩 
1572---千夫所指　　 ---箦 
1573---千古不解之谜　　 ---适 
1574---千古共存　　 ---舌 
1575---千古恨　　 ---跌 
1576---千古恨　　 ---跌 
1577---千古结同心　　 ---恬 
1578---千古奇缘　　 ---舌 
1579---千古牵连一笔勾　　 ---乱 
1580---千古牵连一时消　　 ---舌 
1581---千古融合靠一心　　 ---恬 
1582---千古一绝　　 ---估 
1583---千古一绝　　 ---估 
1584---千古一绝　　 ---估 
1585---千古之恨怎酿成　　 ---跌 
1586---千金出闺门　　 ---娃 
1587---千金出闰门　　 ---娃 
1588---千金去点卯　　 ---娩 
1589---千金要方　　 ---囡 
1590---千金一笑　　 ---嬉 
1591---千金之子　　 ---媳 
1592---千口难分，一笔勾销　　 ---乱 
1593---千里北归人独宿，一芦南渡雁双栖　　 ---乘，丝 
1594---千里北山雁阵归　　 ---嵊 
1595---千里奔波为四化　　 ---羁 
1596---千里冰封　　 ---冯 
1597---千里访他人已没　　 ---驰 
1598---千里飞骑抵桥前　　 ---椅 
1599---千里风行起　　 ---骟 
1600---千里逢迎　　 ---重 
1601---千里共婵娟　　 ---妈 
1602---千里归人空白头　　 ---香 
1603---千里横山雁阵连　　 ---秉 
1604---千里寄相思　　 ---枋 
1605---千里江陵一日还　　 ---皈 
1606---千里绝无俦　　 ---骑 
1607---千里来人，十分要紧　　 ---驸 
1608---千里来相会　　 ---骤 
1609---千里明月下西楼　　 ---骒 
1610---千里暮色日西沉　　 ---蓦 
1611---千里南天展燕翼　　 ---乘 
1612---千里凭添上苑心　　 ---懂 
1613---千里骑上坐君子　　 ---笃 
1614---千里人归函谷中　　 ---黍 
1615---千里相逢　　 ---骤 
1616---千里相逢　　 ---重 
1617---千里相逢成对影　　 ---笃 
1618---千里相逢断桥边　　 ---骄 
1619---千里相逢在花前　　 ---董 
1620---千里相逢在路旁　　 ---踵 
1621---千里效力抵哨前　　 ---驾 
1622---千里一线穿　　 ---重 
1623---千里之行，始于足下　　 ---踵 
1624---千里之行始足下　　 ---踵 
1625---千里走单骑　　 ---奇 
1626---千磨万击还坚劲，任尔东南西北风　　 ---笠 
1627---千人高兴换新颜　　 ---俭 
1628---千人团结紧，重点为四化　　 ---税 
1629---千人晚会　　 ---移 
1630---千人一条心　　 ---恁 
1631---千人一心团结紧　　 ---恁 
1632---千人于今共一心　　 ---稔 
1633---千日改革告成　　 ---但 
1634---千树万树梨花开　　 ---檄 
1635---千万和春住　　 ---柜 
1636---千万要小心　　 ---惊 
1637---千言万语　　 ---够 
1638---千载浮云一望收　　 ---丢 
1639---千载一时　　 ---壬 
1640---千载一时人相逢　　 ---季 
1641---千姿百态一一开　　 ---伯 
1642---千字文　　 ---坂 
1643---牵牛过堂下　　 ---牡 
1644---前后都相爱，中间少联系　　 ---受 
1645---前列腺增生　　 ---胜 
1646---前前后后　　 ---豆 
1647---前前后后总算凑够　　 ---心 
1648---前线有责任　　 ---绩 
1649---潜　　 ---汆 
1650---敲竹杠　　 ---从 
1651---巧断奇案　　 ---柯 
1652---巧夺天工　　 ---人 
1653---巧妇何能炊好饭　　 ---糯 
1654---巧手出自匠心　　 ---折 
1655---巧挖穷根　　 ---窍 
1656---鞘　　 ---剧 
1657---且到桥南伐桑木　　 ---叠 
1658---且将献之比羲之　　 ---琵 
1659---且请放心来云南　　 ---悬 
1660---且请宽心来西湖　　 ---菹 
1661---青一块，紫一块　　 ---素 
1662---轻烟薄雾笼山峰　　 ---氙 
1663---轻舟点点泛春波　　 ---梁 
1664---倾心宝玉无由见　　 ---它 
1665---清辉映玉臂　　 ---璧 
1666---清浊分流　　 ---蜻 
1667---情节扣人　　 ---倩 
1668---情人相近本无心　　 ---倩 
1669---晴空朗月挂边陲　　 ---郎 
1670---请二位入席就座　　 ---庄 
1671---请勿入口　　 ---囫 
1672---秋收　　 ---火 
1673---秋月当头闻箫声　　 ---销 
1674---裘　　 ---被 
1675---区区之心在千里　　 ---驳 
1676---屈指一算　　 ---擞 
1677---曲目调正　　 ---曹 
1678---曲水浪花溅龙舟　　 ---巡 
1679---龋齿　　 ---蚜 
1680---去电表示祝贺　　 ---庵 
1681---去掉偏见二字，人才脱颖而出　　 ---规 
1682---去掉一划　　 ---划 
1683---去掉一竖　　 ---云 
1684---去者乃是淮阴侯　　 ---储 
1685---权限集中　　 ---邓 
1686---权限于此有根据　　 ---邓 
1687---权向画里觅知音　　 ---枝 
1688---全部调整　　 ---陪 
1689---全厂生产　　 ---六 
1690---全都不认帐　　 ---籁 
1691---全方位　　 ---倍 
1692---全国人口减少　　 ---珏 
1693---全国统一高考　　 ---庇 
1694---全靠二人来配合　　 ---十 
1695---全力动员　　 ---贺 
1696---全力可省则省　　 ---勋 
1697---全力支援重点　　 ---办 
1698---全面改革从我做起　　 ---珍 
1699---全面竞赛　　 ---庇 
1700---全面庆改革　　 ---靥 
1701---全面实行生产责任制　　 ---庖 
1702---全省上下改造西湖　　 ---渺 
1703---全是男子汉　　 ---妩 
1704---全体动员力求合作　　 ---贺 
1705---全仗四方来支援　　 ---使 
1706---缺月残云　　 ---弘 
1707---却教明月送将来　　 ---脚 
1708---却教明月送将来　　 ---脚 
1709---群成胜者有望矣　　 ---琶 
1710---群雁飞近水田旁　　 ---淄 
1711---热水袋　　 ---泡 
1712---人伴春阳过板桥　　 ---但 
1713---人别双亲到异乡　　 ---辫 
1714---人不去私终近失　　 ---俟 
1715---人不下一千　　 ---任 
1716---人不要自大　　 ---一 
1717---人不在其位　　 ---立 
1718---人才出众　　 ---从 
1719---人才脱颖而出　　 ---顷 
1720---人才隐在你身旁　　 ---称 
1721---人才有高下　　 ---禾 
1722---人才重安排　　 ---禾 
1723---人才重作安排　　 ---禾 
1724---人才纵横　　 ---村 
1725---人参大补丸　　 ---伏 
1726---人参锁阳　　 ---春 
1727---人参一两　　 ---丙 
1728---人残心不残　　 ---必 
1729---人残心不残　　 ---必 
1730---人从宋后少名桧　　 ---云 
1731---人从宋后无名桧　　 ---云 
1732---人大改组　　 ---丛 
1733---人丹　　 ---赭 
1734---人到白头赖后昆　　 ---偕 
1735---人到四十相貌变　　 ---柬 
1736---人到中年　　 ---耋 
1737---人登鳌背　　 ---傲 
1738---人地两生　　 ---佳 
1739---人地两生　　 ---佳 
1740---人多并非好事　　 ---侈 
1741---人多花费大　　 ---侈 
1742---人多热气高　　 ---八 
1743---人而无仪　　 ---义 
1744---人格为重　　 ---侣 
1745---人格为重　　 ---徊 
1746---人工降春雨　　 ---奏 
1747---人归落雁后　　 ---仄 
1748---人归落雁后　　 ---从 
1749---人归落雁后，思发在花前　　 ---奔 
1750---人行道　　 ---会 
1751---人行横道　　 ---大 
1752---人行横道　　 ---佰 
1753---人行明镜里　　 ---入 
1754---人怀向党心　　 ---侣 
1755---人家多在竹棚头　　 ---篇 
1756---人家尽枕河　　 ---沪 
1757---人家尽枕河　　 ---渥 
1758---人间参与商　　 ---火 
1759---人间二十春　　 ---茶 
1760---人间二月　　 ---胡 
1761---人间开并蒂，天上会双星　　 ---笑 
1762---人间牛女双星　　 ---火 
1763---人间桃杏半开花　　 ---梵 
1764---人间天上　　 ---仝 
1765---人间天上　　 ---巩 
1766---人间天上会双星　　 ---灭 
1767---人间天上心相印　　 ---恐 
1768---人届古稀　　 ---华 
1769---人居两地　　 ---佳 
1770---人踞一方　　 ---因 
1771---人君和为上　　 ---程 
1772---人空帘幕垂　　 ---扉 
1773---人空伫兮达旦　　 ---宣 
1774---人口倍减　　 ---徊 
1775---人口倍减　　 ---立 
1776---人口结构度兴衰　　 ---尺 
1777---人口聚仃土木兴　　 ---堡 
1778---人口控制　　 ---谟 
1779---人口一定要适中　　 ---合 
1780---人口增减家家户户有关　　 ---舍 
1781---人来加盖四层楼　　 ---值 
1782---人来就餐　　 ---良 
1783---人离去，唯有夜夜依然在　　 ---侈 
1784---人离休，还得干　　 ---杆 
1785---人离休，献余热　　 ---杰 
1786---人临改革催骏马　　 ---鞭 
1787---人面桃花相映红　　 ---赫 
1788---人民币不足一元　　 ---羌 
1789---人民万岁　　 ---筹 
1790---人攀明月不可得　　 ---因 
1791---人佩一弓带二矢　　 ---佛 
1792---人前背后要一致　　 ---有 
1793---人前马后　　 ---仵 
1794---人前人后露一点　　 ---火 
1795---人去也却是旧时相识　　 ---做 
1796---人全走，水空流　　 ---琉 
1797---人人比工作，个个争上游　　 ---筮 
1798---人人不落后　　 ---丛 
1799---人人参加除病　　 ---俩 
1800---人人参加国内改革　　 ---往 
1801---人人出工有劲头　　 ---径 
1802---人人出力　　 ---伤 
1803---人人动手　　 ---竿 
1804---人人都出工　　 ---巫 
1805---人人都后门　　 ---简 
1806---人人都是普通劳动者　　 ---筑 
1807---人人都适合　　 ---答 
1808---人人都有雄心　　 ---众 
1809---人人都有优缺点　　 ---很 
1810---人人都植树　　 ---纵 
1811---人人都走横道线　　 ---丝 
1812---人人盖起三层楼　　 ---俎 
1813---人人高兴　　 ---筷 
1814---人人关心　　 ---巫 
1815---人人会加减　　 ---坐 
1816---人人皆喜悦　　 ---筷 
1817---人人节约　　 ---纵 
1818---人人节约　　 ---纵 
1819---人人晋升　　 ---篙 
1820---人人开口　　 ---两 
1821---人人靠紧党中央　　 ---何 
1822---人人离座---座上无人　　 ---庄 
1823---人人立正　　 ---征 
1824---人人立志，心怀四化　　 ---德 
1825---人人埋头不起来　　 ---坐 
1826---人人埋头干　　 ---坐 
1827---人人埋头干　　 ---坐 
1828---人人平等　　 ---筒 
1829---人人平等　　 ---筠 
1830---人人齐立四化志　　 ---德 
1831---人人让座　　 ---庄 
1832---人人让座　　 ---庄 
1833---人人入座　　 ---庄 
1834---人人上前线　　 ---纵 
1835---人人身带闪光点　　 ---炎 
1836---人人是普通劳动者　　 ---筑 
1837---人人树立四化志　　 ---德 
1838---人人树立四化志　　 ---德 
1839---人人所盼　　 ---笆 
1840---人人团结　　 ---答 
1841---人人团结紧，拧成一股绳　　 ---丛 
1842---人人团结一条心　　 ---丝 
1843---人人团结在党中央周围　　 ---徊 
1844---人人为公，上下一致　　 ---箕 
1845---人人为四化　　 ---俗 
1846---人人为我，我为人人　　 ---徐 
1847---人人笑逐颜开　　 ---筷 
1848---人人心向十四届六中全会　　 ---德 
1849---人人要积累点点滴滴　　 ---炎 
1850---人人要虚心　　 ---伦 
1851---人人要虚心　　 ---伦 
1852---人人一条心，埋头干四化　　 ---德 
1853---人人迎“十一”　　 ---坐 
1854---人人长命　　 ---筹 
1855---人日相逢会知心　　 ---恩 
1856---人少田多　　 ---儡 
1857---人生得特别丑　　 ---侍 
1858---人生何处可相逢　　 ---哥 
1859---人生何处一相逢　　 ---倚 
1860---人生几见月当头　　 ---俏 
1861---人生没有单行道　　 ---件 
1862---人生没有单行道　　 ---佰 
1863---人生难得一相逢　　 ---朱 
1864---人生七十　　 ---华 
1865---人生七十古来稀　　 ---哗 
1866---人生如意　　 ---以 
1867---人生一别如月阴　　 ---邾 
1868---人生有离合　　 ---禽 
1869---人似秋鸿来有信　　 ---言 
1870---人似秋鸿来有信　　 ---言 
1871---人事改革　　 ---鞭 
1872---人手不足　　 ---任 
1873---人说多子为好，我说少生为妙　　 ---女 
1874---人说乡下变了样　　 ---绘 
1875---人说乡下变了样　　 ---绘 
1876---人虽离休，位变人没变　　 ---檎 
1877---人虽离休，心一点没离　　 ---怵 
1878---人虽离休勤出力　　 ---槿 
1879---人退休闲不住　　 ---门 
1880---人退休闲不住　　 ---门 
1881---人卧太阳下　　 ---是 
1882---人无信不立　　 ---言 
1883---人心求一统，两地岂能分　　 ---奎 
1884---人心日向党中央　　 ---嗯 
1885---人心统一四方安　　 ---奋 
1886---人须边上走　　 ---趁 
1887---人言可畏休多言　　 ---偎 
1888---人杳仙山残月悬　　 ---屈 
1889---人要闯，马要放　　 ---闪 
1890---人要实在　　 ---倮 
1891---人要同心　　 ---合 
1892---人要心口一致　　 ---恰 
1893---人要一直求上进　　 ---企 
1894---人要一直虚心　　 ---华 
1895---人要有一点好品格　　 ---器 
1896---人要有一点上进心　　 ---态 
1897---人要争先进　　 ---欠 
1898---人一到三十就立　　 ---奔 
1899---人一定要有国格　　 ---因 
1900---人一去就是三个星期　　 ---借 
1901---人依古梅花半落　　 ---葆 
1902---人依旧日去，柳丝系客心　　 ---修 
1903---人已退休，心中爱厂　　 ---床 
1904---人已退休，专心谜艺　　 ---术 
1905---人以食为天　　 ---良 
1906---人以为亲　　 ---辛 
1907---人倚画楼雨潲潲　　 ---彤 
1908---人倚西楼　　 ---休 
1909---人倚珠桥看落英　　 ---佗 
1910---人亦念其家　　 ---闷 
1911---人影依稀走洛阳　　 ---衫 
1912---人影在地　　 ---坐 
1913---人有不平之声　　 ---厂 
1914---人有二心尽为私　　 ---会 
1915---人有一点虚荣心　　 ---佗 
1916---人欲白头时　　 ---佬 
1917---人约黄昏后　　 ---灵 
1918---人约黄昏后　　 ---是 
1919---人约黄昏后　　 ---借 
1920---人约黄昏后　　 ---炅 
1921---人约黄昏后，风吹花影动　　 ---匙 
1922---人在草木中　　 ---茶 
1923---人在弟子在　　 ---至 
1924---人在行云里　　 ---会 
1925---人在花阴落照中　　 ---茵 
1926---人在画堂深处　　 ---杏 
1927---人在画堂深处　　 ---估 
1928---人在画堂深处　　 ---估 
1929---人在环山下，川中水断流　　 ---界 
1930---人在前头走　　 ---俞 
1931---人在前头走　　 ---俞 
1932---人在伞下　　 ---米 
1933---人在水一方　　 ---泅 
1934---人在台北两分闻　　 ---公 
1935---人在台后声先到　　 ---佶 
1936---人在太阳下　　 ---是 
1937---人在西湖入画中　　 ---沐 
1938---人在西楼系回心　　 ---保 
1939---人在小憩鸟在鸣　　 ---杏 
1940---人在幽篁曲径中　　 ---笈 
1941---人造梯田　　 ---僵 
1942---人之初，性本善　　 ---食 
1943---人中有兽心　　 ---大 
1944---人总有点错误　　 ---仪 
1945---人走人行道　　 ---侩 
1946---仁者到处见方便　　 ---史 
1947---仁智之乐　　 ---汕 
1948---忍让之心差一点　　 ---刀 
1949---刃　　 ---召 
1950---任人宰割　　 ---壬 
1951---妊娠怀一子　　 ---乃 
1952---日　　 ---畔 
1953---日出而作　　 ---旱 
1954---日从海边没，水向天边流　　 ---汨 
1955---日高花影重　　 ---昆 
1956---日光掠后风微度　　 ---影 
1957---日后必定大统一　　 ---昊 
1958---日环食　　 ---一 
1959---日蛔竖不加点　　 ---神 
1960---日脚下平地　　 ---旦 
1961---日解一牛　　 ---星 
1962---日进一尺　　 ---昼 
1963---日近西头树参差　　 ---楂 
1964---日落池边映小扉　　 ---涧 
1965---日落秋波帘半卷　　 ---帽 
1966---日暮掩柴扉　　 ---阍 
1967---日内瓦　　 ---婵 
1968---日日相系心上头　　 ---思 
1969---日月潭边林蔽阳　　 ---潸 
1970---日中会谈　　 ---许 
1971---如今要主动一点　　 ---玲 
1972---汝乃有心人　　 ---您 
1973---入川打靶　　 ---革 
1974---入川单线联系　　 ---卅 
1990---入春三日，双燕归来　　 ---众 
1976---入籍川北　　 ---扈 
1977---入门尽是弹冠客　　 ---阁 
1978---入门尽是弹冠客　　 ---阁 
1979---入门无犬吠　　 ---问 
1980---入暮雁群塞北飞　　 ---堤 
1981---入秋就发愁　　 ---心 
1982---入秋暑气消　　 ---禾 
1983---入市不安静　　 ---漳 
1984---入室操戈　　 ---阀 
1985---入我彀中　　 ---圄 
1986---入夜杯杯不落空　　 ---梦 
1987---入夜波平进东川　　 ---酬 
1988---入夜不平静　　 ---晏 
1989---若有人知春去处，唤取归来同住　　 ---柱 
1990---塞北千里　　 ---乖 
1991---塞北千山雁阵斜　　 ---嵊 
1992---三八傍晚　　 ---萝 
1993---三八放假　　 ---媳 
1994---三八妇女节　　 ---旧 
1995---三八晚会　　 ---萝 
1996---三才之道也　　 ---会 
1997---三残月中　　 ---崛 
1998---三藏取西经，八方来相助　　 ---缰 
1999---三层楼旁长雪松　　 ---俎 
2000---三层桥下波涌月　　 ---滑 
2001---三岔口　　 ---品 
2002---三厂改革各有方　　 ---磊 
2003---三厂同时出成品　　 ---磊 
2004---三尺见方　　 ---咪 
2005---三尺梅花　　 ---麋 
2006---三尺青锋挂空中　　 ---粉 
2007---三尺小羊羁　　 ---糕 
2008---三尺之内左右开弓　　 ---粥 
2009---三春去后诸芳尽　　 ---榴 
2010---三春雁北飞字　　 ---日 
2011---三寸金莲，横量　　 ---距 
2012---三点集中分行　　 ---衍 
2013---三点离开重庆　　 ---俞 
2014---三点西安日环食　　 ---酒 
2015---三叠琴心明月下　　 ---春 
2016---三叠泉　　 ---淼 
2017---三叠泉　　 ---淼 
2018---三方共聚会，流水草木间　　 ---藻 
2019---三方合作学中医　　 ---智 
2020---三方联合，四面横向　　 ---目 
2021---三分补品　　 ---晶 
2022---三分天下晋而终　　 ---春 
2023---三分天下晋而终　　 ---春 
2024---三峰错落映残月　　 ---崛 
2025---三个“金三角”，兴盛又富足　　 ---鑫 
2026---三个不同的人　　 ---何 
2027---三个凑在一起　　 ---全 
2028---三个凑在一起　　 ---全 
2029---三个孩子避雨漏　　 ---潺 
2030---三根线儿细细连　　 ---缰 
2031---三根线儿细细连　　 ---缰 
2032---三更半夜　　 ---孩 
2033---三更残月下帘钩　　 ---乳 
2034---三更三点夜归人　　 ---殓 
2035---三更斜月犹垂钓　　 ---乳 
2036---三更新月挂疏林　　 ---季 
2037---三更新月挂枝头　　 ---季 
2038---三更枕前汀白头　　 ---季 
2039---三顾频频天下计　　 ---众 
2040---三顾频频天下计　　 ---蠲 
2041---三行雁阵两行斜　　 ---丛 
2042---三行雁字飞上下　　 ---丛 
2043---三槐堂铭　　 ---玫 
2044---三缄其口　　 ---亘 
2045---三箭射中虎腹　　 ---彪 
2046---三江流派融一体，渺渺烟波看不清　　 ---淼 
2047---三江纵横　　 ---洲 
2048---三角加四角，却又缺一角　　 ---台 
2049---三狡兔　　 ---究 
2050---三狡兔　　 ---究 
2051---三来一补就是好　　 ---鄯 
2052---三两可可　　 ---兖 
2053---三毛植树　　 ---橇 
2054---三名已定合该然　　 ---炳 
2055---三亩田里耘了草　　 ---品 
2056---三桥重叠映清辉　　 ---骨 
2057---三人合包两块田　　 ---僵 
2058---三人结伴春游西湖，起先天雨后来放晴　　 ---沿 
2059---三人聚花前　　 ---芨 
2060---三人骑头无角牛　　 ---奉 
2061---三人踢球，一人卧倒　　 ---似 
2062---三人同行我最大　　 ---徐 
2063---三人下厂，定点复习　　 ---廖 
2064---三人相聚面目变　　 ---何 
2065---三人相聚清明后　　 ---春 
2066---三人小组　　 ---奈 
2067---三人偃身荡龙舟　　 ---巡 
2068---三人用心合作　　 ---奉 
2069---三人周末一同见　　 ---春 
2070---三三两两聚西湖　　 ---汁 
2071---三三两两立花前　　 ---卉 
2072---三三两两立花前　　 ---萃 
2073---三山错落层云外　　 ---崛 
2074---三山是故居　　 ---崛 
2075---三山一时倾　　 ---帚 
2076---三山映带浮屠端　　 ---崛 
2077---三山重叠不盈尺　　 ---崛 
2078---三扇芭蕉退烈焰　　 ---烬 
2079---三生石上　　 ---鑫 
2080---三省吾身　　 ---秦 
2081---三十成名不算晚　　 ---苦 
2082---三十出头　　 ---端 
2083---三十而立　　 ---卉 
2084---三十而立　　 ---莘 
2085---三十而立添光彩　　 ---艳 
2086---三十六策选上策　　 ---趣 
2087---三十六计　　 ---九 
2088---三十六计，多系上着　　 ---梦 
2089---三十六计用一计　　 ---莘 
2090---三十六刻　　 ---丸 
2091---三十六载成一梦　　 ---夕 
2092---三十上下貌如花　　 ---卉 
2093---三十上下模样，恰似花儿一般　　 ---卉 
2094---三十天　　 ---音 
2095---三十天　　 ---音 
2096---三十未有二十余　　 ---金 
2097---三十未有二十余　　 ---金 
2098---三十载后方相聚　　 ---苦 
2099---三时差十分　　 ---晶 
2100---三台一品逸城边　　 ---垒 
2101---三潭印月　　 ---心 
2102---三潭印月入画中　　 ---渭 
2103---三潭印月西湖景　　 ---沁 
2104---三潭印月影沉水，一带枫林村落鲜　　 ---澎 
2105---三位一体　　 ---王 
2106---三无产品　　 ---晶 
2107---三五扁舟趁秋水　　 ---盼 
2108---三五成群　　 ---积 
2109---三五鸡群，一行雁阵　　 ---奠 
2110---三五皆歪斜　　 ---罡 
2111---三相交流　　 ---洲 
2112---三星白兰地　　 ---酱 
2113---三星伴月蝶高飞　　 ---恋 
2114---三星伴月柳梢头　　 ---潸 
2115---三星伴月如画里　　 ---思 
2116---三星伴月照闺中　　 ---闷 
2117---三星错落映大桥　　 ---实 
2118---三星期　　 ---昔 
2119---三星桥下夜三更　　 ---学 
2120---三星在户　　 ---沪 
2121---三月花开蜂蝶来　　 ---蠢 
2122---三月一直雨纷纷　　 ---清 
2123---三中全会后，乡下变了样　　 ---纭 
2124---三种货币不一样　　 ---铡 
2125---三周　　 ---昔 
2126---三周孵出小鸡　　 ---醋 
2127---三周前一同去西藏　　 ---醋 
2128---伞形改革　　 ---米 
2129---散会　　 ---云 
2130---扫黄打丑　　 ---牡 
2131---森林大火　　 ---焚 
2132---山坳处处起炊烟　　 ---幽 
2133---山伯英台双蝴蝶　　 ---孪，娈 
2134---山不在高　　 ---嵩 
2135---山从人面起　　 ---仙 
2136---山道弯弯　　 ---幽 
2137---山低雁影遥　　 ---公 
2138---山东　　 ---根 
2139---山东禾苗破土出　　 ---嵊 
2140---山东话改革　　 ---鲳 
2141---山东及时雨　　 ---鲥 
2142---山东佳景一日游　　 ---鲡 
2143---山东接海隅　　 ---汕 
2144---山东离别，转眼再会　　 ---鳗 
2145---山东省东平人　　 ---仙 
2146---山东省日照　　 ---鱼 
2147---山东省阴天有雨　　 ---渔 
2148---山东省阴有雨　　 ---霁 
2149---山东一日游　　 ---鱼 
2150---山东有雨，安徽少云　　 ---鲩 
2151---山洞中藏　　 ---宾 
2152---山峰倒遇棹穿波　　 ---密 
2153---山峰隐处水朦胧　　 ---函 
2154---山峰远逝浊浪空　　 ---蜂 
2155---山谷半露，风貌无边　　 ---嗤 
2156---山谷将落日　　 ---由 
2157---山横塞北云　　 ---击 
2158---山横溪畔影登门　　 ---润 
2159---山间曲径马蹄痕　　 ---函 
2160---山间之四时也　　 ---卿 
2161---山径一弯带雨痕　　 ---函 
2162---山岚风光　　 ---出 
2163---山里处处猪满圈　　 ---豳 
2164---山里改变旧貌　　 ---画 
2165---山里乡乡变了样　　 ---幽 
2166---山连水，水连山　　 ---函 
2167---山峦重叠林参差　　 ---棵 
2168---山密夕阳多　　 ---备 
2169---山南山北草初齐　　 ---茁 
2170---山倾村半毁　　 ---寻 
2171---山倾东南　　 ---棂 
2172---山区变了样　　 ---岚 
2173---山区路不平　　 ---岖 
2174---山雀倒衔一叶来　　 ---鸪 
